sentence,frame,target,Agent,Issue,Side,Position,Frequency,Time,Place,Support_rate
Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .,Vote,voted,"(0, 14)","(62, 110)",,"(54, 61)",,,,
"Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .",Vote,voted,"(0, 14)","(25, 154)",,"(21, 24)",,,,
He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .,Vote,vote,"(0, 2)","(43, 99)",,"(35, 42)",,,,
Ann Kirkpatrick votes with her party nearly 90 percent of the time .,Vote,votes,"(0, 15)",,"(22, 36)",,,,,"(37, 66)"
"Bernie Sanders voted with Republicans to protect the Minutemen , a hate group that used military tactics against our community .",Vote,voted,"(0, 14)","(38, 62)","(21, 37)",,,,,
"After taking hundreds of thousands of dollars from Goldman Sachs and other Wall Street banks , Debbie Wasserman Schultz has voted to prevent the Consumer Financial Protection Bureau from regulating payday loans and addressing racial discrimination in car loans .",Vote,voted,"(95, 119)","(130, 260)",,,,,,
Debbie Wasserman Schultz voted repeatedly to send terminally ill patients to prison .,Vote,voted,"(0, 24)","(42, 83)",,,,,,
Patrick Murphy is one of only three Democrats in the House today who voted to create the Benghazi committee .,Vote,voted,"(65, 68)","(75, 107)",,,,,,
Renee Ellmers was the only Republican to vote against an amendment to prioritize the deportation of sexual criminals who are illegal immigrants .,Vote,vote,"(0, 13)","(54, 143)",,"(46, 53)",,,,
"Sen. John McCain told dreamers that he 'll support the Dream Act , then he voted against it .",Vote,voted,"(72, 74)","(89, 91)",,"(81, 88)",,,,
Congressman Joe Heck has voted 62 percent of the time with Nancy Pelosi and the Democrats on a variety of important issues .,Vote,voted,"(0, 20)","(90, 122)","(54, 89)",,,,,"(31, 53)"
Ron Johnson voted to turn Medicare into a voucher program .,Vote,voted,"(0, 11)","(18, 57)",,,,,,
Nevada lawmakers voted to allow teenaged boys to shower with your teenaged girls in public school locker rooms .,Vote,voted,"(0, 16)","(23, 110)",,,,,,
Sen. Bennet votes with Obama 98 percent of the time .,Vote,votes,"(0, 11)",,"(18, 28)",,,,,"(29, 51)"
Did not vote for tax increases as a member of the West Miami City Commission .,Vote,vote,"(34, 76)","(17, 30)",,"(13, 16)",,,,
"British voters under 50 , especially millennials , overwhelmingly voted to stay , in the European Union .",Vote,voted,"(0, 23)","(72, 103)",,,,,,
It was older voters who voted to leave .,Vote,voted,"(7, 23)","(30, 38)",,,,,,
"While serving in the city council , Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China .",Vote,voted,"(36, 52)","(59, 119)",,,,"(0, 33)",,
"Ron Johnson justifies his support of trade agreements by saying the U.S. has the Trade Adjustment Assistance program for displaced workers , but then he voted to eliminate it .",Vote,voted,"(150, 152)","(159, 174)",,,,,,
Barack Obama voted for the very same language of Indiana 's Religious Freedom Restoration Act when he was in the Illinois state Senate .,Vote,voted,"(0, 12)","(23, 93)",,"(19, 22)",,"(94, 134)",,
"As a U.S. senator , Russ Feingold voted against authorizing our military 11 separate times .",Vote,voted,"(20, 33)","(48, 72)",,"(40, 47)","(73, 90)",,,
Debbie Wasserman Schultz has voted for huge subsidies for the sugar industry as well as for delays in cleanups .,Vote,voted,"(0, 24)","(35, 110)",,,,,,
