prompt,output
"Frame: Vote

Sentence: Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .

Frame Elements:
- Agent: Bernie Sanders
- Position: against
- Issue: the money that ended up saving the auto industry

New order of frame elements: Agent, Issue, Position

",Bernie Sanders voted against the money that ended up saving the auto industry because he was against the auto bailout.
"Frame: Vote

Sentence: Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .

Frame Elements:
- Agent: Bernie Sanders
- Position: against
- Issue: the money that ended up saving the auto industry

New order of frame elements: Issue, Agent, Position

","The money that ended up saving the auto industry was voted against by Bernie Sanders, who was against the auto bailout."
"Frame: Vote

Sentence: Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .

Frame Elements:
- Agent: Bernie Sanders
- Position: against
- Issue: the money that ended up saving the auto industry

New order of frame elements: Issue, Position, Agent

",The money that ended up saving the auto industry was what Bernie Sanders was against and voted against.
"Frame: Vote

Sentence: Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .

Frame Elements:
- Agent: Bernie Sanders
- Position: against
- Issue: the money that ended up saving the auto industry

New order of frame elements: Position, Agent, Issue

","Against the money that ended up saving the auto industry, Bernie Sanders was against and voted."
"Frame: Vote

Sentence: Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .

Frame Elements:
- Agent: Bernie Sanders
- Position: against
- Issue: the money that ended up saving the auto industry

New order of frame elements: Position, Issue, Agent

","Against the money that ended up saving the auto industry, Bernie Sanders was against the auto bailout and voted."
"Frame: Vote

Sentence: Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .

Frame Elements:
- Agent: Bernie Sanders
- Position: for
- Issue: the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit

New order of frame elements: Agent, Issue, Position

","Bernie Sanders, limiting the Sandy Hook lawsuit, voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers."
"Frame: Vote

Sentence: Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .

Frame Elements:
- Agent: Bernie Sanders
- Position: for
- Issue: the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit

New order of frame elements: Issue, Agent, Position

","The bill that gave special protection - immunity from liability - to the gun makers and sellers, limiting the Sandy Hook lawsuit was voted for by Bernie Sanders."
"Frame: Vote

Sentence: Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .

Frame Elements:
- Agent: Bernie Sanders
- Position: for
- Issue: the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit

New order of frame elements: Issue, Position, Agent

","The bill that gave special protection - immunity from liability - to the gun makers and sellers, limiting the Sandy Hook lawsuit was supported by Bernie Sanders through his vote."
"Frame: Vote

Sentence: Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .

Frame Elements:
- Agent: Bernie Sanders
- Position: for
- Issue: the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit

New order of frame elements: Position, Agent, Issue

","For the bill that gave special protection - immunity from liability - to the gun makers and sellers, limiting the Sandy Hook lawsuit, Bernie Sanders voted."
"Frame: Vote

Sentence: Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .

Frame Elements:
- Agent: Bernie Sanders
- Position: for
- Issue: the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit

New order of frame elements: Position, Issue, Agent

","For the bill that gave special protection - immunity from liability - to the gun makers and sellers, limiting the Sandy Hook lawsuit, Bernie Sanders voted."
"Frame: Vote

Sentence: He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .

Frame Elements:
- Agent: He
- Position: against
- Issue: creating a House panel to investigate Planned Parenthood

New order of frame elements: Agent, Issue, Position

","He voted against creating a House panel to investigate Planned Parenthood, despite being the only Republican."
"Frame: Vote

Sentence: He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .

Frame Elements:
- Agent: He
- Position: against
- Issue: creating a House panel to investigate Planned Parenthood

New order of frame elements: Issue, Agent, Position

","Creating a House panel to investigate Planned Parenthood, he was the only Republican to vote against."
"Frame: Vote

Sentence: He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .

Frame Elements:
- Agent: He
- Position: against
- Issue: creating a House panel to investigate Planned Parenthood

New order of frame elements: Issue, Position, Agent

","Creating a House panel to investigate Planned Parenthood was voted against by him, the only Republican."
"Frame: Vote

Sentence: He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .

Frame Elements:
- Agent: He
- Position: against
- Issue: creating a House panel to investigate Planned Parenthood

New order of frame elements: Position, Agent, Issue

","Against creating a House panel to investigate Planned Parenthood, he was the only Republican to vote."
"Frame: Vote

Sentence: He was the only Republican to vote against creating a House panel to investigate Planned Parenthood .

Frame Elements:
- Agent: He
- Position: against
- Issue: creating a House panel to investigate Planned Parenthood

New order of frame elements: Position, Issue, Agent

","Against creating a House panel to investigate Planned Parenthood, he was the only Republican to vote."
"Frame: Vote

Sentence: Ann Kirkpatrick votes with her party nearly 90 percent of the time .

Frame Elements:
- Agent: Ann Kirkpatrick
- Side: with her party
- Support_rate: nearly 90 percent of the time

New order of frame elements: Agent, Support_rate, Side

","Ann Kirkpatrick, nearly 90 percent of the time, votes with her party."
"Frame: Vote

Sentence: Ann Kirkpatrick votes with her party nearly 90 percent of the time .

Frame Elements:
- Agent: Ann Kirkpatrick
- Side: with her party
- Support_rate: nearly 90 percent of the time

New order of frame elements: Side, Agent, Support_rate

","Nearly 90 percent of the time, Ann Kirkpatrick votes with her party."
"Frame: Vote

Sentence: Ann Kirkpatrick votes with her party nearly 90 percent of the time .

Frame Elements:
- Agent: Ann Kirkpatrick
- Side: with her party
- Support_rate: nearly 90 percent of the time

New order of frame elements: Side, Support_rate, Agent

","With her party nearly 90 percent of the time, Ann Kirkpatrick votes."
