og_sentence,frame,target,og_Agent,og_Issue,og_Side,og_Position,og_Frequency,og_Time,og_Place,og_Support_rate,prompt,new_sentence
Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .,Vote,voted,"(0, 14)","(62, 110)",,"(54, 61)",,,,,"Frame: Vote

Sentence: Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .

Frame Elements:
- Agent: Bernie Sanders
- Position: against
- Issue: the money that ended up saving the auto industry

New order of frame elements: Agent, Issue, Position

",Bernie Sanders voted against the money that ended up saving the auto industry because he was against the auto bailout.
Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .,Vote,voted,"(0, 14)","(62, 110)",,"(54, 61)",,,,,"Frame: Vote

Sentence: Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .

Frame Elements:
- Agent: Bernie Sanders
- Position: against
- Issue: the money that ended up saving the auto industry

New order of frame elements: Issue, Agent, Position

","The money that ended up saving the auto industry was voted against by Bernie Sanders, who was against the auto bailout."
Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .,Vote,voted,"(0, 14)","(62, 110)",,"(54, 61)",,,,,"Frame: Vote

Sentence: Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .

Frame Elements:
- Agent: Bernie Sanders
- Position: against
- Issue: the money that ended up saving the auto industry

New order of frame elements: Issue, Position, Agent

",The money that ended up saving the auto industry was what Bernie Sanders was against and voted against.
Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .,Vote,voted,"(0, 14)","(62, 110)",,"(54, 61)",,,,,"Frame: Vote

Sentence: Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .

Frame Elements:
- Agent: Bernie Sanders
- Position: against
- Issue: the money that ended up saving the auto industry

New order of frame elements: Position, Agent, Issue

","Against the money that ended up saving the auto industry, Bernie Sanders was against and voted."
Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .,Vote,voted,"(0, 14)","(62, 110)",,"(54, 61)",,,,,"Frame: Vote

Sentence: Bernie Sanders was against the auto bailout and voted against the money that ended up saving the auto industry .

Frame Elements:
- Agent: Bernie Sanders
- Position: against
- Issue: the money that ended up saving the auto industry

New order of frame elements: Position, Issue, Agent

","Against the money that ended up saving the auto industry, Bernie Sanders was against the auto bailout and voted."
"Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .",Vote,voted,"(0, 14)","(25, 154)",,"(21, 24)",,,,,"Frame: Vote

Sentence: Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .

Frame Elements:
- Agent: Bernie Sanders
- Position: for
- Issue: the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit

New order of frame elements: Agent, Issue, Position

","Bernie Sanders, limiting the Sandy Hook lawsuit, voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers."
"Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .",Vote,voted,"(0, 14)","(25, 154)",,"(21, 24)",,,,,"Frame: Vote

Sentence: Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .

Frame Elements:
- Agent: Bernie Sanders
- Position: for
- Issue: the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit

New order of frame elements: Issue, Agent, Position

","The bill that gave special protection - immunity from liability - to the gun makers and sellers, limiting the Sandy Hook lawsuit was voted for by Bernie Sanders."
"Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .",Vote,voted,"(0, 14)","(25, 154)",,"(21, 24)",,,,,"Frame: Vote

Sentence: Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .

Frame Elements:
- Agent: Bernie Sanders
- Position: for
- Issue: the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit

New order of frame elements: Issue, Position, Agent

","The bill that gave special protection - immunity from liability - to the gun makers and sellers, limiting the Sandy Hook lawsuit was supported by Bernie Sanders through his vote."
"Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .",Vote,voted,"(0, 14)","(25, 154)",,"(21, 24)",,,,,"Frame: Vote

Sentence: Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .

Frame Elements:
- Agent: Bernie Sanders
- Position: for
- Issue: the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit

New order of frame elements: Position, Agent, Issue

","For the bill that gave special protection - immunity from liability - to the gun makers and sellers, limiting the Sandy Hook lawsuit, Bernie Sanders voted."
"Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .",Vote,voted,"(0, 14)","(25, 154)",,"(21, 24)",,,,,"Frame: Vote

Sentence: Bernie Sanders voted for the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit .

Frame Elements:
- Agent: Bernie Sanders
- Position: for
- Issue: the bill that gave special protection - immunity from liability - to the gun makers and sellers , limiting the Sandy Hook lawsuit

New order of frame elements: Position, Issue, Agent

","For the bill that gave special protection - immunity from liability - to the gun makers and sellers, limiting the Sandy Hook lawsuit, Bernie Sanders voted."
