claim,frames,tables,notes,GPT-4o zero-shot
"Chile ranks third internationally in economic freedom, while the US ranks 17th.",Comparing_two_entities,,,"Occupy_rank, Occupy_rank_via_superlatives"
"The lifespan of the average American is less than that of people in nations that spend far less on health care ... To put it bluntly, we spend more and die sooner.",Comparing_two_entities,,,Comparing_two_entities
The US only ranks 25th worldwide on defense spending as a percentage of GDP.,Occupy_rank,,,Occupy_rank
"The United States is number 14, number 15 in college graduation rates, and we're leading the world in high school dropout rates.","Occupy_rank, Comparing_two_entities",,,Occupy_rank
The United States is 50th in life expectancy in the world.,Occupy_rank,,,Occupy_rank
We now have our kids go to school about a month less than most other advanced countries.,Comparing_two_entities,,,Comparing_two_entities
We have the highest corporate tax rates in the world right now.,Occupy_rank_via_superlatives,,,Occupy_rank_via_superlatives
The United States has one of the highest corporate tax rates in the world.,Occupy_rank_via_superlatives,,,Occupy_rank_via_superlatives
"Americans, in the last 30 years, have more than doubled the amount of money we are spending per child on education â€¦ and the results have gotten worse, not better.",Comparing_at_two_different_points_in_time,,,Comparing_at_two_different_points_in_time
Corporate taxes will soon be the highest in the industrialized world.,Occupy_rank_via_superlatives,,,Occupy_rank_via_superlatives
"In the late 1980s, the US was nearly the lowest-taxed nation in the world, and a quarter century later we're nearly the highest.",Comparing_at_two_different_points_in_time,,,Comparing_at_two_different_points_in_time
Says more than eight countries lead the United States in the percentage of college graduates.,Occupy_rank,,,Comparing_two_entities
The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,Comparing_two_entities,,would be ratio,Comparing_two_entities
We have the second highest corporate tax rate among our trading partners.,Occupy_rank,,,Occupy_rank
"In Chile, they have 72 percent of the GDP in savings.",None,,would be ratio,None
Says America spends over 17 percent of its GDP on health care costs when our closest competitor nations are spending about 12.,Comparing_two_entities,,,Comparing_two_entities
"Our income, our GDP per capita, is almost 50 percent higher than it is for the average European.",Comparing_two_entities,,,Comparing_two_entities
One generation ago we led the world in college graduation. We're 16th today.,Comparing_at_two_different_points_in_time,,,Comparing_at_two_different_points_in_time
A million people a year come into the US legally. No other country even comes close to that figure.,Occupy_rank,,,Comparing_two_entities
We have more scientists and engineers per square mile than anywhere in the world.,Comparing_two_entities,,,Comparing_two_entities
Weâ€™re now spending 42 percent of our economy on government.,None,,would be ratio,Comparing_at_two_different_points_in_time
